,Reviews
184,"[The best thing about a science fiction/fantasy film is not in its ability to make us imagine. It's the ability that a film has to represent what we consider ""human"" or ""normal"" in a deliriously make-believe manner. The Hunger Games stumps you with its basic idea, but once you move beyond its premise, it manages to captivate you with the manner in which the message is told. For its ability to push you to fantasize beyond your regular boundaries of imagination, The Hunger Games is two and a half hours of intellectually-fuelled fantasy that you deserve. The Hunger Games has an extremely disturbing premise. Set in the futuristic city of Panem in America, based on the sci-fi novel of the same name written by Suzanne Collins, the movie revolves around the Annual Hunger Games. The Capitol city conducts The Hunger Games every year, to remind the 12 districts constituting Panem, of their authority and power.  24 teenagers or ""tributes"" as they are called are pitted against each other in the jungles in a survival-of-the-fittest type reality show, and only one emerges winner. As they battle it out, blood-wars and deceptions included, the people of the Capitol city celebrate it as a sporting event. The point is well made in your head by then, as an audience. You are indirectly told that a harsh remark is being made at the idea of urbanization. By the time the 24 teens enter the jungles you are well acquainted with the bizarre practices of the Capitol city. The film up till this point holds your attention, allows you to enter a world that is magnificently mocking and makes you sit-up and draw comparisons between Capitol City and planet Earth. But the moment the 24 kids enter the jungles, each adventure then becomes a tad bit predictable. A predictability that works but because it has such a meticulously-stimulating first half, it's almost as if you're transported into a different film. The two lead ""tributes"" Katniss Evergreen (played by Jennifer Lawrence) and Peeta Mellark (Josh Hutcherson) are shown to be in love, because the Capitol authorities believe the audiences want something to hope for - they soon have a romance angle that is staged for the purpose of entertainment. It makes you want to feel ashamed of being a part of a generation that celebrates facades, and staged realities. The action in the jungle sequence has a few endearing moments too. - with relationships brewing between participants, in a situation of absolute rivalry. Oscar-nomited Jennifer Lawrence (As Katniss) brings the desired poker-faced burdened performance to her character - you immediately empathize with her, and hence agree with every move she makes during the games. In that sense, it's important that the film's protagonist makes that connection with its audience, which Lawrence manages well. As a film set in a post-apocalyptic future, The Hunger Games makes for a visual delight. With gritty, high intensity shots of the jungles that serve as a stark opposite to the urban ""jungle"" of the Capitol, the picture leaves you spell-bound. The Hunger Games is captivating in that it allows us to place a mirror at our own ""evolved"" practices. The representation of the people of the Capitol is remarkably innovative and even though a little loud you don't question the colored mustaches, the golden eye make-up - as they all serve as facades that we, as urban, bureaucratic puppets, often wear. The Hunger Games then is a well-thought, ingenious film with a promise of a sequel that I am waiting for with bated breath. ]"
185,"[Superhero vs. End-of-the-worlder - there are only so many ways this theme can go. Krrish 3 goes exactly that way - predictable down to the last scene and detail. Even so, well-written superhero films have something about the hero's dilemma or the situations he has to go through, to keep you interested. Krrish 3 shows potential with such situations a couple of times, but then they fizzle away. Krrish 3 just fizzles away.Actually, the film is somewhat of a surprise from what you expect. I didn't expect there to be much of a story - expectations set by Krrish. But, even though they aren't remotely logical, a few things that are cute. Just that the thought was put into it when it wasn't expected - reaches out to you. For example, the manner in which our end-of-the-worlder, Kaal (Viveik Oberoi) gets his army together. Also, as laughable as Rohit's (Hrithik Roshan) pet project is, the concept itself is used adorably. On the other hand, I expected the VFX to keep me glued but they turn out to be shoddy for way too many parts. The special effects in the first 20 minutes or so shocked me. The inside of an aircraft's cockpit reminded me of how drives in a car were shot in the 50s! When Krrish (Hrithik Roshan) flies, it's just that the fastening cord that holds Hrithik Roshan has been edited out, else you can pretty much tell it's there. However, there are a few special effects that work too. Despite a thousand and one inspirations Krrish 3's VFX are rather disappointing. There is only so much you can blame on the low budget. At the very least, they shouldn't have attempted the effects and action sequences that they couldn't do well. Mediocrity in this area from an action film of this stature is not acceptable.One of the other main things any action film relies on heavily is dialogue. And Krrish 3 has absolutely nothing going for itself in this department. ""Fusion is the Future,"" really? It's almost as if it were written for reviewers to fill a paragraph with. Then, you have Krrish sending across public service announcements and blatantly advertising way too many brands. Neither of them - be it noble or money-minded - have a place in a film. They instantly, bring you back to the real world, which is very jerky considering the fantasy world Krrish lives in. For a few minutes, I was impressed, even if with a fair share of amusement, with the Krishna vs. Kaal metaphor going on in the film. And then of course, they had to spoon-feed it and make you wonder if the villain was named Kaal just so that, a supposedly cool line could be said by Kaal. Oh well.That besides a child gets an absolutely unacceptable line. Interestingly enough, I didn't mind the performances at all. It could have to do with my mental preparation for an onslaught of hamming. But the 2.5 hours passed by with very few cringes, at least owing to the acting. Hrithik Roshan's transition from Rohit (dad) to Krishna (son) to Krrish (superhero) makes you admire him. It must not be easy to modulate your voice and keep it consistent the way he does for Rohit. Now, if only he didn't flare his nostrils as a sign of anger and/or disappointment and/or fear. Priyanka Chopra has very little to do, but there is this one glimpse and it stays for half a fraction of a second, which makes you wish she had been given more to do in that zone. Viveik Oberoi does do a decent job of instilling fear as the mean villain - for about two minutes. After that you just lament for what the character could have been. I guess you cannot fault the actor for that. But that gives him precious little to do. Kangna Ranaut's character, Kaaya too suffers from the same shortcoming in the writing department. Else, she could've been a really interesting character and Kangna was doing a fair job with it too.But then, if the makers had spent more time on the characters, they wouldn't have had the time to find abrupt places for songs to be inserted now, would they? That besides, the music, lyrics and worst of all the choreography (except for a few steps by Hrithik Roshan) take you straight back to the 90s. Now, where is the need for that?So, given what I liked in the film, would I watch it again? Not a chance! Do I regret watching it once? I don't regret watching any film once (well, almost - exceptions here and here).  Would I mind it if my kids watched it? Not really, only once, though. If you are a Hrithik Roshan fan - Happy Diwali! For the rest of us, don't watch it and have a Happy Diwali any way! :D]"
186,"[When I first watched the trailer of Ender's Game, it exhausted me even though it was only a couple of minutes long. The space-sci-fi setting - so overdone in recent times - seemed cumbersome; the VFX looked all-too-familiar; Harrison Ford, a long-time favourite of mine, seemed jaded; and, quite simply, the plot of the film just didn't seem inspiring. Obviously, then, expectations from the film were close to nil. I'd like to believe, though, that it wasn't just rock-bottom expectations that led me to be fairly intrigued by the film when I finally watched it.Set 50 years after our planet was invaded by and subsequently reclaimed from an alien species known as the Formics, we learn that the powers-that-be have zeroed in on a very peculiar manner of countering any further attacks - training Earth's brightest adolescent minds in tactical military strategy.It isn't completely the fault of this particular film, that it has arrived towards the fag end of the same year that saw films like Oblivion, Gravity, Elysium, After Earth, Pacific Rim, Star Trek Into Darkness and so many more. Despite being based on a book of the same name written all the way back in 1985, Ender's Game seems to have so many elements - big and small - similar to these films that it does seem a lot like deja vu; not to mention how it often reminds you of more seminal sci-fi flicks like The Matrix and Star Wars. Still, the film manages to hold its own by the time you reach the end of it, for more reasons than one.Despite its futuristic setting, the problems that young Ender faces hit home. He's a curious, brilliant child, but a bit of a misfit; he doesn't do so well under authority, quite prone to bursts of rebellion. Apart from being the usual save-the-world effort, the film, then, is also the coming-of-age story of young Ender. Far more interestingly, the film also very clearly raises questions about the art of war itself. Does war have any place for morality? If you are in a war, then is winning the sole objective of the war? What about the way you win it? Does history remember the victor or does it remember the side that fought with their morals intact?Even with these rather pertinent questions that the film raises, it does so within the periphery of Ender's story; thus coming across as fairly lightweight and breezy. Not that the pace of the film is brisk, but it keeps you on your toes guessing, while throwing in a twist or two, once in a while; right until the big climactic twist, which pushes the film up a few notches.Asa Butterfield, last seen as the blue-eyed, angelic titular boy in Martin Scorsese's Hugo, once again plays the titular character in Ender's Game. His eyes remain piercingly blue, but the difference is that the innocence of childhood has now been replaced by teenage angst and moral dilemma. Unusually lean and scrawny for the lead character in a film of this scale, it is this unassuming physicality which truly makes him stand out as a character. Besides, the boy has an intensity about him that one rarely sees in actors today, and that helps the film tremendously.Harrison Ford as Colonel Graff appears as worn out and jaded through the film as he seemed in the trailer. Also - though this could be just me - every time the film was in the midst of a space battle simulation scene with Ford sitting at a console trying to train the young cadets to fight, I couldn't help wishing for him to just whizz away on the Millennium Falcon and show them how it's done. Viola Davis and Sir Ben Kingsley, both in roles that didn't particularly need actors of their caliber, do well enough anyway.Director Gavin Hood, also credited as screenplay writer, doesn't ever let proceedings get too heavy or tedious. The plot twists are fun and keep you hooked for the large part. And though the VFX aren't particularly outstanding, they're largely unobtrusive, letting the story talk for itself. This helps the film as well. With a runtime of under two hours, then, Ender's Game is a surprisingly watchable film, and sets itself up nicely as a franchise for the future. ]"
187,"[A host of good-for-nothings trying to make quick money to pay off the yelling landlady breathing down their necks. Heard that one before? They strike the brilliant idea of objectifying the fairer sex and start with turning into peeping Toms. But, just any woman won't do. Not only does this particular lady have to have the perfect vital statistics, but she should also be a rich heir. Please note, there is no possibility of her being rich on her own merit. Mind you, though one woman will do for all of them put together. And of course the exaggeration plays equally on the male stereotype too. Poor things are shown to be even more insensitive than the average man, imagine that! Oh never mind, let's move on before I get all feminist on you.Oh come on, you cannot be blaming me for giving the story away; you have seen this bit before - many times. And anyway, giving credit where it is due, there is a little more to the movie than just the foursome wooing this lady. So what, if that little more might as well have made a different movie altogether. Now, why does the name Priyadarshan come to mind?Also creditworthy is how some of the funny dialogues are slickly put in between regular lines. So, only the very attentive will get the jokes. But that's about where the smartness ends. It pretty much doesn't matter which character says those lines because the characters don't have any individualistic characteristics. And it pretty much doesn't matter where in the story those dialogues are scripted, because they could equally randomly be interspersed anywhere in the rest of the story (ies).I think it is time I stop complaining about how wasted Om Puri, Sherman Joshi, and Rajpal Yadav in their loud characters or how wooden Kunal Khemu, Tusshar Kapoor, and Tanushree Dutta are in their loud characters or how loud Asrani and Tiku Talsania are in their loud characters. In future I will try and point out things about these actors only if they are any different.Music? Lyrics? Don't remember any of it. So, let's just say they were very forgettable.So, except for the few funny lines and the teeny-weeny bit of curiosity aroused by the second story, there isn't much going for this movie. But, then again, we weren't expecting anything different from this crew, were we?]"
188,"[The first thing that strikes you about Mickey Virus is the overt use of what is supposedly ""cool"" language. From facebook and twitter to use of words like backspace and escape in regular dialogue, Mickey Virus goes overboard just to make an impact, to squeeze a laugh out of you. Unfortunately, it is also the big picture that you walk out of the theater with. It is a shame then that Mickey Virus has enough material in its cute, albeit illogical story to have made a good comic thriller.From the slogan t-shirt to the one-liners, the film seems like its writing department's only aim was to impress with its wit in every single line - at least in the first half. The adrenaline rush seems to settle down post-interval, which is when the relentless onslaught of absolutely ridiculous computer jargon begins. Wires, USB sticks, random computer screens take over with a vengeance.More unfortunately than fortunately, Mickey Virus does have a decent story hiding behind all this mumbo-jumbo. Our man, Mickey (Manish Paul), a rockstar, computer hacker is roped in by the police to solve a cyber crime. He gets himself into a very tight spot around interval. By then, you have warmed up to his personality and you really want him to come out unscathed and want to know how he does it too. Alas, the weave gets so messy that you lose interest. It almost feels like its written by a 16-year old who is trying his hand at a story for the first time. In that sense, the movie is a good first attempt. But ultimately, it is pretty juvenile. This is besides the mind-numbing number of loopholes in the details. Thankfully though, the lead performance is pretty mature. It does require talent to portray a believable, charming, good-for-nothing buffoon. This, Manish Paul manages pretty well. Soon enough, he has to go into a serious, scared mode which he makes you believe too. The rest of the cast ain't bad either. In comedies like these, I am just thankful they aren't too loud. That relative restraint itself is applaud-worthy. How I wish some of that restraint was shown in filling the film up with romantic numbers that do not belong. Well I know, that is always too much to ask for. Having had a decent broad story and a good lead actor on board, Mickey Virus ought to have dived a little deeper to make for a thriller we could laugh with. It's as if the makers were either too lazy or too scared to fill in the details with smart content.  They opt for stuff that is so out there that no one will take the film seriously. This too would've been fine, if it were done in moderation. Mickey Virus does come across as a film that the makers weren't entirely comfortable with. There are sparks that indicate they would've rather made it an all-out thriller. The comedy bits seem like an outer cover, an after thought, even. Yet, it is great to see a comic thriller being attempted. A brainless comedy with some direction is better than one that hams aimlessly, any day.]"
189,"[Is there anyone at all in the world who has dared to use the unparalleled power of the World Wide Web towards a more controversial and daring endeavour than WikiLeaks founder Julian Assange? A man who single-handedly shook up the diplomatic establishment with his avante-garde whistleblowers' website, even a cursory read on Assange will tell you that his life is a story worth knowing about.You'd think that it would be pretty hard to mess up a film on the life of a man like Assange; you'd have so much material to go by that you wouldn't need to put in any extra effort to dramatize goings-on, or attempt any technical gimmickry to make things appear interesting. Well, it turns out that the director of the last two Twilight films can, indeed, make such a mess.One of the key problems with Bill Condon's The Fifth Estate is its jarring visual treatment; the gritty, shaky camera and nervous, frequent-cutting were probably employed to keep the audience on the edge at all times, but it just doesn't work. This is the kind of film where you want the writing to do the talking, not the camera or technique. Alas, the narrative of the film is flat, because of a singularly uninspiring screenplay.The film merely documents some of the key leaks that took the world by storm, while intermittently pausing to show Assange as a well-intentioned but egotistical, stubborn maniac - a man who didn't want to relinquish control simply because he trusted no one. There isn't anything in the film that you don't know or couldn't guess. It is watchable, but rarely anything more.Of course, a large part of the blame lies on the source material of the film. Based on the book 'Inside WikiLeaks: My Time with Julian Assange and the World's Most Dangerous Website' by Assange's erstwhile associate Daniel Domscheit-Berg, the film rarely offers any insight into Assange, or rarely delves into any truly thrilling or spectacular secrets that would shock the world. Berg and Assange had a well-known falling out, and while the film doesn't particularly go out of its way to paint Assange in a negative light, it almost seems more like an attempt to exonerate Berg from any blame.All eyes were on Benedict Cumberbatch and his portrayal of the controversial figure. Well, Cumberbatch has clearly tried hard. The problem is that the effort shows. His mannerisms and diction seem effected, though one can't fault him for failing to convey the right emotion. Daniel Bruhl, last seen as Niki Lauda in Rush, is excellent as always. He plays the author of the book the film is based on. He at least manages to convince you of his side of the story clearly. Even though Assange's character comes across as merely a slightly unusual piece of cardboard. I doubt that The Fifth Estate will be the last film on the life and times of Julian Assange, because surely there's a whole lot more to the man than what has hitherto been whistled and blown about. While this film is ordinary at best, something far more interesting - in true Assange style - is the open letter that Assange wrote to Benedict Cumberbatch when the film was still in its early days. That letter, at the very least, has a shred of emotion in it. ]"
190,"[Why is it that we, supposedly the most intelligent species on the planet, fail to recognize and respect every beating heart of every single being that belongs to any one of the millions of living species that we share our world with? The perverseness of humankind, particularly with our blatant disregard for the natural world around us, is no secret. Every once in a while, though, this lack of understanding and respect for the diverse and intriguing flora and fauna of our world can lead to horrifying and gruesome consequences, especially when what lies behind this is pure financial greed - a fact that is gut-wrenchingly exemplified in Gabriela Cowperthwaite's documentary, Blackfish.The film narrates a series of stories surrounding a killer whale (also known as an Orca,) named Tilikum, which was responsible for the deaths of a number of experienced whale trainers. Continuously gripping, often shocking but mostly just intensely moving and horrifying - all at once, Blackfish shows you both sides of the relationship that a human and an animal can share - it can be both, fulfilling as well as grotesque. Tautly narrated, relying primarily on archival footage and interviews of former trainers at SeaWorld a (dolphin amusement park), where Tilikum still remains, the film wastes no time in grabbing you by the gut and holding on to it right until it ends. It takes you through a range of emotions - from pure joy when you see what seems to be unadulterated love between a human being and a killer whale, to deep, dark, larger questions about whether everything that we see and feel is just a mirage.Also, an animal lover will truly be fascinated by the tiny glimpse that the film gives you, into the fascinating species of dolphins that killer whales are. Undeniably gorgeous, they're also highly intelligent, evolved creatures that seem to be just as capable of feeling complex emotions as human beings. The film's grainy, low resolution images almost never distract you, because the stories that it narrates and the emotions of some of interviewees are so genuine, so real, that you get taken in by it all. When you walk away from Blackfish, then, you're left with mixed feelings. The film is terrific, yes, but it makes you wonder if human beings as a species are the worst things that could have happened to a world as unique as Earth. It is only the tears that you see - and perhaps feel somewhere deep within - that remind you that what always comes with being a human being, is hope.]"
191,"[The entire movie, frame-by-frame, has been done extremely tastefully, an exceptional treat for the eye. Of course, you have to ignore Shah Rukh Khan and the exhibition of the many faces he is capable of making, through all of this. Fortunately, there is enough to distract us on the tour. Name it - cinematography, art direction, locations, action, special effects - all visuals have been done very skillfully. Our brains though are taken for a roller-coaster ride by the storyteller. Yes, there are a few additional twists to the original plot. While some of them work and keep you interested, with others you are deprived of a satisfactory explanation. The direction is classy in most parts. A few scenes are superbly executed - the one where Don meets Kamini (Kareena Kapoor), the one in which she is found dead, the one in which Jasjit (Arjun Rampal) is asked to do some work for the goons. Then there are others that could have been done better - the one where Vijay escapes while they are being transferred from one jail to another, the one where Jasjit is taking his child away from the gangsters. Having expectations before seeing a movie can change the flavor of a movie, just like the food you eat changes the flavor of a wine. This movie would be much more enjoyable if you are not constantly comparing. But expectations are called for when you are paying a high profile tribute to a high profile movie. Comparisons with the 1978 Don are inevitable. We have some cool new dialogues which add spice to the movie. Some loopholes from the first movie are smoothened out and a little additional back story fills in the blanks appropriately. But new loopholes and blanks crop up with the new situations. Let's just say, the new story has its fair share of flaws too. I thought Chandra Barot's Don was long and it dragged in the end. I was happy when a lot of sub-plots from the original were cut down, but was saddened very soon, with the new sub-plots taking up too much screen time. This time too the pace slackens in the last hour. You can't have an action movie in this day and age slowing down in the end - that's just wrong. Granted, Shah Rukh has a lot to live up to, but all he needed to do was follow the master's steps! Was there any change at all in dialogue delivery, intonation, voice modulation between Don and Vijay? In the Sauna scene, you see the Amitabh-Don oozing with confidence - the Shah Rukh-Don is just sitting there. You see constant suspicion, and rightly so, on Amitabh's face in 'Ye mera dil...' - through the song Shah Rukh's eyes are full of lust like that of a schoolboy, and suddenly he smartens up. You know Amitabh is satisfied and happy when he meets the children at their hostel, Shah Rukh is just regurgitating the lines. You sense fear in Amitabh's body language when Zeenat Aman points a gun at him, not a muscle moves on Shah Rukh's face in the corresponding scene. Maybe some of this can be claimed to be intentional, but all of it? That's hard to digest. The other actors have done a great job. Boman Irani seems to fit into any role that he takes up. Arjun Rampal needs special mention, why don't we see more of him? The three ladies Kareena Kapoor, Priyanka Chopra, Ishha Koppikar do their bit suitably. Though the songs are not the greatest when you are listening to them (again because you are constantly comparing) they have been picturised beautifully. The choreography is very good especially for 'Maurya'. Shah Rukh oozes with energy when he dances and he has done a pretty good job with the rap-like singing bit in 'Khaike paan banaraswaala' too. All-in-all, you have to bear in mind that when you go for a Mission Impossible or a Bond movie, you go more for the style and special effects than to see a good story or quality acting. Similarly, a trip to the cinema halls won't be wasted when you go for this one; you are guaranteed a stylish product.]"
192,"[What if Robin Hood's father didn't know him for the good things he did and judged him for looting others? Maybe it'd make an interesting story, if it dealt with just that. Unfortunately, Boss starts out with this simple what if and complicates things beyond comprehension. To make matters manifold worse, this Robin Hood, Satya (Akshay Kumar) spouts inane dialogue to look cool; laughs at his own poor jokes; literally sings his own praises (just in case you hadn't guessed from the his finger rings); and is generally way too full of himself. The only saving grace is that he doesn't have a lead lady as a show piece. I guess, we could take offense that the makers of the film didn't even bother to have a role for a lead lady at all. But then if it were going to be as skimpily written as it was for Ankita (Aditi Rao Hydari), I guess it worked out best that there isn't a lead lady. Especially, given that Sonakshi Sinha's cameo had more recall value than Aditi's entire role. And I wouldn't blame Aditi's performance for it. The writing department just doesn't care enough to be taken seriously. With the numerous complications added to fill in the story, the writing completely loses track from where it starts. For example, Satya and Shiv's maternal uncle (Johny Lever) suddenly behaves like a stranger in a scene in the second half of the film. With such glaring mistakes, attention to detail is just way too much to ask for.Only aim here seems to be to give Akshay Kumar screen time. Interestingly enough, Akshay Kumar shows on screen 30 minutes into the film. I wonder what the reasons might have been. But, once he comes, he does his typical hamming and stays.Till then and for little snippets after Shiv Pandit does try his best to make an impact. But, it is Ronit Roy who stays in memory. He does have the fierceness that a villain pitted against a boisterous Satya/Akshay Kumar needs. Yet, his role is too ill-defined and unidimensional for it to instill fear. Sure, there are a couple of scenes which make you laugh out loud - more because it is silly beyond words than because it is witty. Also, the first one or two action sequences for Ronit Roy are brash enough to make you notice. Otherwise though, there are out-of-place film references, worse placed songs and over-the-top dialogues in the name of entertainment. I really wonder how one doesn't get bored doing the same kinds of role one after the other. Maybe they are different roles but are just performed in the same old way. Or maybe the roles aren't defined enough to be different or similar. Goodness knows. ]"
193,"[If I had to pick one Hindi film this year that shows the largest heart, that truly symbolizes the victory of sheer passion towards cinema and storytelling, then it would have to be Hansal Mehta's comeback film after a hiatus, the touching and eye-opening Shahid. The film traces the real life story of criminal lawyer Shahid Azmi, who was murdered for his defense of a Muslim man accused of being an accomplice in 26/11. Shahid's story begins when, as a youth living in Govandi (an eastern suburb in Mumbai) and traumatized by the Bombay riots of 1993, he flees to a jihadi camp for 'training'. The conflict between his own interpretation of Islam and that of the 'trainers' at the camp forces him to come back to Bombay, albeit into the arms of the police. Then begins his journey on the path of justice, something that he believes in till the very end.Shahid Azmi's story was clearly bursting to be told; a man who decided to fight for those who couldn't fight for themselves; a man who paid the price of justice with his life. I'm glad that it was Hansal Mehta who was destined to bring his story back into public consciousness. After the interesting Dil Pe Mat Le Yaar and the truly underrated Chhal, a slew of highly forgettable films made a promising career head southwards. With Shahid, hopefully that career will head towards where it should.While the film's biggest strength undoubtedly is the story of the Shahid himself, what really makes the cinematic version of it memorable is the cast of the film. Mohammed Zeeshan Ayyub as Shahid's older brother is excellent. He is the actor who played the role of Manu Sharma in the recent screen adaptation of Jessica Lal's story. Anyone who loathed him then (because he was so good in the negative role) is bound to have a change of heart after this film. Prabhleen Sandhu as Shahid's wife Mariam has a pleasing presence. Kay Kay Menon in a small, but significant cameo is an absolute delight to watch. One really misses this incredible actor. Tigmanshu Dhulia and Vipin Sharma in small roles are terrific, as are the rest of the supporting cast.But the film ultimately belongs to Raj Kumar Yadav, the man who plays the title role. He invests himself into the character with such aplomb that one can easily feel his helplessness, his confusion, his ambition, his purpose and the rough edges that the character has. With every single performance of his, Raj Kumar underlines the fact that he is one of the most talented and dynamic young actors India has today. Hopefully, filmmakers will be able to channel his talent and challenge him with even more complex roles.Strictly as a film, Shahid isn't without its flaws. With budget and financial viability being perhaps the foremost reasons, the film suffers from technical and production-related problems. Right from issues like DSLR footage not blending in with the rest of the film, production value not being up to the standard that a film like this should ideally have had, to the fact that even though the film tracks nearly two decades of Shahid's life, he doesn't visually age at all - these problems stick out like thorns in the intense experience that the film otherwise is. Also, the film could and should have been crisper. Often, a lot of time is spent highlighting Shahid's character traits, especially right at the start of the film and then later in the film. I'm not sure if this has some connection to the fact that the editor of the film, Apurva Asrani, is also one of the screenplay writers. Either way, shortening the film could possibly have strengthened its impact.Still, it isn't often that the conviction and passion of the director and his team shines through in a film that clearly faced a number of obstacles in its making. Just for that, Shahid is a film that deserves to be seen on the big screen.]"
194,"[No doubt, some of the action sequences and a few of the aerial shots can be enjoyed only on the big screen. But, barring these, there isn't anything spectacular about the execution. In fact, a good many departments are just about mediocre - acting, dialogues, set design. And I am not even talking about less superficial things like character and tension build-up. The screenplay for Race seems to be in a race with itself at, at least, a couple of levels. (Sorry, the use of ""race"" was just too irresistible!). At one level, we have one sub-plot waiting to chop into action as soon as the previous one is done. At another, each sequence is trying to outdo the other in terms of ""gotcha! You didn't see that coming now, did ya?"" The narrative was interesting till it maintained the scheme of letting the audience know a little more than the other characters in the movie. Later it becomes the regular ""Guess who's the bigger fool?"" for the audience too. And in a way, you can take a fair guess at what is coming. If it's not going to be the obvious, it's going to be the opposite of the obvious, so there you go.The good thing though is that the women too have an actual role in the scheming. Don't worry guys - its Bipasha, Katrina and Sameera - they won't let you down if you are here for the skin show. They are not great at emoting. Anyway the story is more about their devious minds and not their emotions. You don't really feel for any of the men either. They are all so engrossed in outsmarting the other that they forget to feel deceit or love. There is this one-off expression by Akshaye Khanna that makes you laugh - intentionally, intentionally, so it's alright. It was all too funny, to see the actors complementing each other's acting skills on screen. Just in case no one else did that?The Karamchand-Kitty gig mimicked by Anil Kapoor-Sameera Reddy is rather tedious and so is the monologue by Johnny Lever.The dialogues do sound very labored. A lot of labor seems to have gone into searching the internet for sms jokes. Then they are laboriously forced into the flow of the story. The one-liners range from adult, as in they are 18 years old, to sexual-innuendo adult.The action sequences weren't fresh either. The one introducing Saif Ali Khan, and the climax, are executed really well, but there's nothing unique or stunningly creative about them. I absolutely enjoyed some of the aerial shots. Especially, the winding roads (South Africa, supposedly) with the backdrop of the rugged terrain indeed make you feel like whizzing past them. And if it's a Ferrari, who's complaining?What seemed rather amateurish, especially considering it is a high budget movie, is the art design. Good thing a lot of it was outdoors. From the hospital in South Africa to the tacky signboards that said ""Department of Home Affairs"" or ""Stallion"". Even movies on a shoestring budget do better than that. Or this song ""Khwab dekhe jhootha mootha"" with its ugly pink stars in the background which reminded me of a shabby set in Marigold.""Pehli nazar"" always sounded good and, sans Atif Aslam in your face every 4th second, looks good too. The title song and ""zara zara"" are foot-tapping numbers. And they do have purpose, you see. They are strategically placed after a twist/turn/roll in the tale. So, the audience can ruminate over the recent events of the story. Another purpose that they dutifully serve, of course, is to promote the movie. And whoever chose the songs that would go into the promos did a great job. Because the songs that didn't make it are really awful - ""dekho nashe mein"" and ""Khwab dekhe jhootha mootha"". Having said all that, I must say there is something about the movie that made it work overall. I don't know exactly what. Because each department has some major flaw or the other. It just maybe that the departments synergized well enough to let it have a general ""one-time watch"" feel.Save for a couple of stunts and some of the many aerial shots Race doesn't really warrant a trip to the theaters. If the director duo, were woken up in the middle of the night and asked, ""Ultimately, who won the Race?"" They are going to be flummoxed. Or maybe not...they might just say, ""Dude, WE DID!!!"" Because, we, the audience love our cheap thrills and there hasn't been anything glossy around for quite some time. So we will be compelled to flock the box-office. Oh well, so be it.]"
195,"[Dylan Mohan Gray's Fire in the Blood is a documentary on a burning issue that perhaps none of us truly paid attention to. But when we first hear of it in the context of this film, it won't particularly surprise us too much either. I mean, we all know that multi-billion corporations will do what it takes to multiply those billions. Yet, as we watch the film gradually unfold, we realize the sheer magnitude of the problem, and it is shocking. We've all been exposed to the blood-curdling visuals and statistics of how diseases like AIDS have ravaged so much of Africa and the rest of the developing world. The film talks about how large pharmaceutical companies in the West work solely driven by their bottom line; how providing low cost drugs to those who are in dire need isn't a concern for them at all.What becomes both the weakness as well as the strength of Fire in the Blood is the fact that there is almost no technical or creative accomplishment in the film. The visuals are plain, the narrative is driven by interviews, and the music score is bland at best. Instinctively, you'd think that an issue like this, had it been backed by haunting imagery and an interesting narrative style, would have truly been memorable. Still, complete credit to Gray for not going down that route, and choosing to stick to his bare minimum narrative that focuses on the issue alone, and nothing else. It also tells us just how impactful the issue really is. It doesn't need any further embellishment to create an impact. It also really makes us question where humanity is headed; why and on what grounds do we value one life more than the other, and what will it take for the corporate machinery to realize that some things are more important than profit. For its complete honesty and adherence to only the issue that it chooses to talk about and nothing else, Fire in the Blood is a film as well as a movement that must be supported. Only when the entire world begins to ask tough questions of those who deserve it, will wheels of change begin to churn.]"
196,"[War films - whether they are between countries or gangs - invariably end up touching on the futility of war.  War - Chhod Na Yaar wears it as a badge of honor. Even though, the route is different because they use satire and comedy, the theme is rubbed in way too hard. True, the solution to something like the India-Pakistan war can be as simple as 'stop fighting'. If only, it were that simple though, right? Given that War Chhod Na Yaar is satire and doesn't claim to take anything seriously, it might be a tad unfair to hold its simple solutions against it. Even so, the film misses basic coherence.Behind its satirical coat, War Chhod Na Yaar can get away with the implausibility of the plot. But then, the characters, situations, and dialogue were supposed to make you laugh or at least smirk, right? For example, the initial setup of an imminent war at the border, where our protagonists are stationed, doesn't move beyond until the film is well into the second half. To keep the situations comic you have typical potshots at Pakistanis. I would like to think that even for those who find it funny, the jokes would get old within five minutes of the film. Other than that there is toilet humor and other inane one-liners. And generic references to facebook and chat do not a cool movie make. Maybe, there is an odd line here or there that could make you laugh; other than that you are just waiting for something to happen. Sharman Joshi, Javed Jaffrey, and Sanjai Mishra do bring some energy to the film. However again, their characters get repetitive and thus predictable pretty soon. Soha Ali Khan is required to feel shy, flirt with her eyes and look determined every once in a while. She does that all right. Then you have your regular dose of songs that have no business being in the film. I guess we should just be thankful that there aren't any choreographed and/or item numbers. I am all for films that speak about the power of the common man. But, War Chhodo Na Yaar is more dissuading than empowering. It is highly unlikely that the makers didn't want to inspire the audience and make them feel like they can play a role. In that case, you can only think of it as an attempt that failed. Not to mention that an entire section of the population has been totally ignored. The section that does believe that the war should be fought. Maybe, that would be another film. Hopefully not. ]"
